   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.81174,             0.85851,             0.85917,             0.35796,            0.046903,           0.0098133,           0.0013067,             0.00618,             0.87053,             0.74406,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.046,             0.68919,            0.088501,              16.283,             0.12086,             0.10958,              1.8667,           0.0006468,             0.95565,            0.090631,             0.02939,             0.63673,             0.27194,                   3
             0.81541,             0.87179,             0.77983,             0.34881,            0.044135,            0.010324,          0.00090828,            0.015495,             0.40098,             0.73622,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.08025,             0.16405,             0.10823,              8.7336,             0.58352,             0.50109,              9.8604,          0.00098273,             0.75694,             0.79261,             0.33612,              0.6066,             0.85862,                   3
             0.69474,             0.75262,             0.63461,             0.25905,            0.062453,           0.0097122,          0.00046406,            0.099664,              0.1559,             0.85994,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.026686,             0.66854,             0.19612,              35.443,             0.33634,              0.6235,              5.8823,          0.00022723,             0.69511,             0.26676,               0.463,               0.781,             0.32882,                   3
             0.75805,             0.75871,             0.80644,             0.32588,            0.050493,            0.010275,           0.0017181,           0.0093776,             0.71178,             0.64501,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.036633,             0.12891,             0.77253,              26.174,             0.02047,             0.24431,               8.304,          0.00078805,             0.67678,             0.20666,            0.079581,              0.4947,             0.14041,                   3
              0.8567,             0.82308,              0.8695,             0.42092,              0.0479,           0.0085964,           0.0039963,            0.080437,            0.037705,             0.75559,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.049831,            0.085648,             0.35481,              14.538,             0.52174,             0.18978,              6.1349,          0.00036829,             0.82007,             0.51366,             0.11632,            0.020275,             0.19427,                   3
             0.45404,             0.40256,             0.29343,             0.13982,            0.062433,            0.020012,           0.0052498,            0.032363,             0.36637,             0.93253,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0083347,             0.62083,             0.52242,              1.7595,             0.88168,             0.49027,              9.4826,          0.00087754,             0.40818,              0.2846,             0.29856,             0.71042,             0.29994,                   3
             0.83658,             0.86015,             0.81287,              0.4093,            0.042112,           0.0085621,          0.00092182,            0.041537,             0.42256,             0.70862,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.061073,             0.35233,             0.73183,              12.265,            0.072703,             0.18726,              2.9279,          0.00077368,             0.26552,             0.32746,             0.41583,             0.43749,             0.74282,                   3
             0.74174,             0.74359,             0.71378,             0.35027,            0.061531,            0.010239,           0.0010788,            0.013413,             0.42326,             0.87171,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.040084,            0.097349,             0.51211,              32.916,             0.75203,             0.72104,             0.94591,          0.00013061,             0.90408,             0.36139,             0.92473,             0.11037,            0.065451,                   3
              0.2149,             0.29568,             0.17808,            0.041013,            0.092903,           0.0093555,           0.0041649,            0.039974,             0.76897,             0.82587,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.073418,             0.63751,             0.05099,              43.624,             0.58529,             0.46283,              1.0341,           0.0006712,           0.0045529,             0.69205,             0.31002,             0.11088,             0.75471,                   3
             0.85659,             0.92646,             0.94128,             0.30085,            0.050424,            0.008976,           0.0010685,            0.011536,             0.21217,             0.63286,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.032313,             0.64795,             0.30293,              44.753,              0.5582,            0.082196,              4.0959,          9.7881e-05,             0.79152,              0.4051,             0.94851,             0.25212,             0.96404,                   3
