   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.52027,             0.79487,             0.67138,             0.30895,            0.049753,            0.013243,           0.0036354,             0.00334,             0.15135,             0.74832,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.01041,             0.54703,             0.27739,                   0,             0.04591,             0.75544,                   0,                   0,                   0,                 0.5,             0.85834,             0.04266,                   0,                   3
             0.94051,             0.87711,             0.92831,             0.43528,            0.041972,            0.010397,          0.00062752,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                   0,                   3
             0.96581,             0.87378,             0.97632,             0.55425,            0.036082,           0.0090504,          0.00037503,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.94051,             0.87711,             0.92831,             0.43528,            0.041972,            0.010397,          0.00062752,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                 0.1,                   3
             0.63922,             0.60513,             0.62135,             0.27663,            0.048713,            0.014122,           0.0052147,             0.00258,                0.17,               0.779,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,              0.0188,               0.704,                0.36,                   0,              0.0902,               0.491,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.94702,             0.89941,             0.96242,             0.72415,            0.032691,           0.0062389,           0.0013411,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.77643,             0.63908,              0.6123,             0.25055,            0.064194,            0.013416,           0.0010876,            0.031701,             0.92812,              0.6727,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.014901,             0.25747,             0.63479,              42.554,             0.34643,             0.30844,             0.49569,          0.00095453,              0.3138,             0.43532,             0.63369,             0.27042,             0.69617,                   3
             0.35402,             0.48974,              0.4028,             0.10072,            0.088511,           0.0083809,           0.0024998,            0.036203,             0.43864,             0.71515,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.096818,             0.69673,             0.44121,              44.143,            0.014127,             0.65038,              7.2181,           0.0008135,             0.23566,              0.5713,             0.76027,             0.31386,            0.090652,                   3
             0.60041,             0.80494,             0.73163,             0.34038,            0.053393,           0.0099106,            0.001009,            0.032611,             0.84039,             0.71564,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.014879,             0.79891,             0.22208,              19.327,             0.36449,             0.40507,              4.5453,          0.00059687,             0.43985,             0.30598,            0.067352,             0.37995,             0.89051,                   3
             0.31852,             0.44103,             0.30553,            0.091817,             0.06302,            0.023651,           0.0044418,            0.094541,             0.68289,             0.63309,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.06265,             0.13233,             0.61189,              13.598,             0.83986,             0.17042,              1.6137,          0.00025595,             0.35517,             0.14654,              0.3841,             0.89245,             0.57682,                   3
